name,food_subgroup,food_group
Angelica,Herbs,"Herbs and Spices"
"Savoy cabbage",Cabbages,Vegetables
"Silver linden",Herbs,"Herbs and Spices"
Kiwi,"Tropical fruits",Fruits
Allium,"Onion-family vegetables",Vegetables
"Garden onion","Onion-family vegetables",Vegetables
Leek,"Onion-family vegetables",Vegetables
Garlic,Herbs,"Herbs and Spices"
Chives,Herbs,"Herbs and Spices"
"Lemon verbena",Herbs,"Herbs and Spices"
"Cashew nut",Nuts,Nuts
Pineapple,"Tropical fruits",Fruits
Dill,Herbs,"Herbs and Spices"
"Custard apple","Tropical fruits",Fruits
"Wild celery",Spices,"Herbs and Spices"
Peanut,Nuts,Nuts
Burdock,"Root vegetables",Vegetables
Horseradish,Spices,"Herbs and Spices"
Tarragon,Herbs,"Herbs and Spices"
Mugwort,Herbs,"Herbs and Spices"
Asparagus,"Shoot vegetables",Vegetables
Oat,Cereals,"Cereals and cereal products"
"Star fruit","Tropical fruits",Fruits
"Brazil nut",Nuts,Nuts
"Common beet","Leaf vegetables",Vegetables
Borage,"Oilseed crops","Herbs and Spices"
"Chinese mustard",Cabbages,Vegetables
Swede,"Root vegetables",Vegetables
Rape,"Root vegetables",Vegetables
"Common cabbage",Cabbages,Vegetables
Cauliflower,Cabbages,Vegetables
"Brussel sprouts",Cabbages,Vegetables
Kohlrabi,"Root vegetables",Vegetables
Broccoli,Cabbages,Vegetables
"Chinese cabbage",Cabbages,Vegetables
Turnip,Herbs,"Herbs and Spices"
"Pigeon pea",Peas,Pulses
Tea,Teas,Teas
Capers,Spices,"Herbs and Spices"
Pepper,"Fruit vegetables",Vegetables
Papaya,"Tropical fruits",Fruits
Safflower,"Oilseed crops","Herbs and Spices"
Caraway,Spices,"Herbs and Spices"
"Pecan nut",Nuts,Nuts
Chestnut,Nuts,Nuts
"Roman camomile",Herbs,"Herbs and Spices"
Chickpea,Peas,Pulses
Endive,"Leaf vegetables",Vegetables
Chicory,"Root vegetables",Vegetables
"Chinese cinnamon",Spices,"Herbs and Spices"
"Ceylon cinnamon",Spices,"Herbs and Spices"
Watermelon,Gourds,Gourds
Lime,Citrus,Fruits
Lemon,Citrus,Fruits
Pummelo,Citrus,Fruits
"Mandarin orange (Clementine, Tangerine)",Citrus,Fruits
"Sweet orange",Citrus,Fruits
Coffee,Coffee,"Coffee and coffee products"
"Arabica coffee",Coffee,"Coffee and coffee products"
"Robusta coffee",Coffee,"Coffee and coffee products"
Coriander,Herbs,"Herbs and Spices"
"Common hazelnut",Nuts,Nuts
Saffron,Spices,"Herbs and Spices"
Muskmelon,Gourds,Gourds
Cucumber,Gourds,Gourds
Cucurbita,Gourds,Gourds
Cumin,Spices,"Herbs and Spices"
Turmeric,Spices,"Herbs and Spices"
Quince,Pomes,Fruits
"Lemon grass",Herbs,"Herbs and Spices"
"Globe artichoke","Shoot vegetables",Vegetables
"Wild carrot","Root vegetables",Vegetables
"Japanese persimmon","Tropical fruits",Fruits
Cardamom,Spices,"Herbs and Spices"
"Black crowberry",Berries,Fruits
Loquat,"Tropical fruits",Fruits
"Rocket salad (ssp.)","Leaf vegetables",Vegetables
"Wax apple","Tropical fruits",Fruits
"Common buckwheat",Cereals,"Cereals and cereal products"
"Tartary buckwheat",Cereals,"Cereals and cereal products"
Fig,"Other fruits",Fruits
Fennel,Herbs,"Herbs and Spices"
Strawberry,Berries,Fruits
"Black huckleberry",Berries,Fruits
"Soy bean",Soy,Soy
Sunflower,"Oilseed crops","Herbs and Spices"
Sea-buckthornberry,Berries,Fruits
Barley,Cereals,"Cereals and cereal products"
Hyssop,Herbs,"Herbs and Spices"
"Star anise",Spices,"Herbs and Spices"
"Swamp cabbage","Leaf vegetables",Vegetables
"Sweet potato",Tubers,Vegetables
"Black walnut",Nuts,Nuts
"Common walnut",Nuts,Nuts
Lettuce,"Leaf vegetables",Vegetables
"Grass pea",Peas,Pulses
"Sweet bay",Herbs,"Herbs and Spices"
Lentils,Lentils,Pulses
"Garden cress","Leaf vegetables",Vegetables
Lovage,Herbs,"Herbs and Spices"
Flaxseed,"Oilseed crops","Herbs and Spices"
"Mexican oregano",Herbs,"Herbs and Spices"
Lichee,"Tropical fruits",Fruits
Lupine,"Other pulses",Pulses
Apple,Pomes,Fruits
Mango,"Tropical fruits",Fruits
"German camomile",Herbs,"Herbs and Spices"
"Lemon balm",Herbs,"Herbs and Spices"
Mentha,Herbs,"Herbs and Spices"
"Orange mint",Herbs,"Herbs and Spices"
Cornmint,Herbs,"Herbs and Spices"
Spearmint,Herbs,"Herbs and Spices"
Peppermint,Herbs,"Herbs and Spices"
Medlar,Pomes,Fruits
"Bitter gourd",Gourds,Gourds
Mulberry,Berries,Fruits
"Black mulberry",Berries,Fruits
Nutmeg,Spices,"Herbs and Spices"
"Sweet basil",Herbs,"Herbs and Spices"
"Evening primrose","Oilseed crops","Herbs and Spices"
Olive,"Fruit vegetables",Vegetables
"Sweet marjoram",Herbs,"Herbs and Spices"
"Pot marjoram",Herbs,"Herbs and Spices"
"Common oregano",Herbs,"Herbs and Spices"
Rice,Cereals,"Cereals and cereal products"
Millet,Cereals,"Cereals and cereal products"
Poppy,"Oilseed crops","Herbs and Spices"
"Passion fruit","Tropical fruits",Fruits
Parsnip,"Root vegetables",Vegetables
Avocado,"Fruit vegetables",Vegetables
Parsley,Herbs,"Herbs and Spices"
"Scarlet bean",Beans,Pulses
"Lima bean",Beans,Pulses
"Common bean",Beans,Pulses
Date,"Other fruits",Fruits
"Black chokeberry",Berries,Fruits
Anise,Herbs,"Herbs and Spices"
"Pine nut",Nuts,Nuts
"Pepper (Spice)",Spices,"Herbs and Spices"
Pistachio,Nuts,Nuts
"Common pea",Peas,Pulses
Purslane,Herbs,"Herbs and Spices"
"Prunus (Cherry, Plum)",Drupes,Fruits
Apricot,Drupes,Fruits
"Sweet cherry",Drupes,Fruits
"Sour cherry",Drupes,Fruits
"European plum",Drupes,Fruits
Almond,Nuts,Nuts
Peach,Drupes,Fruits
Guava,"Tropical fruits",Fruits
Pomegranate,"Tropical fruits",Fruits
Pear,Pomes,Fruits
Radish,"Root vegetables",Vegetables
"Garden rhubarb","Stalk vegetables",Vegetables
Blackcurrant,Berries,Fruits
Redcurrant,Berries,Fruits
Gooseberry,Berries,Fruits
Watercress,Herbs,"Herbs and Spices"
Rosemary,Herbs,"Herbs and Spices"
"Rubus (Blackberry, Raspberry)",Berries,Fruits
Cloudberry,Berries,Fruits
"Red raspberry",Berries,Fruits
"Black raspberry",Berries,Fruits
Sorrel,Herbs,"Herbs and Spices"
"Common sage",Herbs,"Herbs and Spices"
"Black elderberry",Berries,Fruits
"Summer savory",Herbs,"Herbs and Spices"
"Winter savory",Herbs,"Herbs and Spices"
Rye,Cereals,"Cereals and cereal products"
Sesame,"Oilseed crops","Herbs and Spices"
"Garden tomato","Fruit vegetables",Vegetables
"Cherry tomato","Fruit vegetables",Vegetables
"Garden tomato (var.)","Fruit vegetables",Vegetables
Eggplant,"Fruit vegetables",Vegetables
Potato,Tubers,Vegetables
Rowanberry,Berries,Fruits
Sorghum,Cereals,"Cereals and cereal products"
Spinach,"Leaf vegetables",Vegetables
Cloves,Spices,"Herbs and Spices"
Tamarind,"Tropical fruits",Fruits
Dandelion,Herbs,"Herbs and Spices"
"Cocoa bean",Cocoa,"Cocoa and cocoa products"
"Common thyme",Herbs,"Herbs and Spices"
Linden,Herbs,"Herbs and Spices"
"Small-leaf linden",Herbs,"Herbs and Spices"
Fenugreek,Herbs,"Herbs and Spices"
"Common wheat",Cereals,"Cereals and cereal products"
"Vaccinium (Blueberry, Cranberry, Huckleberry)",Berries,Fruits
"Lowbush blueberry",Berries,Fruits
Sparkleberry,Berries,Fruits
"Highbush blueberry",Berries,Fruits
"American cranberry",Berries,Fruits
Bilberry,Berries,Fruits
Lingonberry,Berries,Fruits
Vanilla,Spices,"Herbs and Spices"
"Common verbena",Herbs,"Herbs and Spices"
"Broad bean",Beans,Pulses
"Adzuki bean",Beans,Pulses
"Gram bean",Beans,Pulses
"Mung bean",Beans,Pulses
"Climbing bean",Beans,Pulses
Cowpea,Peas,Pulses
"Muscadine grape",Berries,Fruits
"Common grape",Berries,Fruits
Corn,Cereals,"Cereals and cereal products"
Ginger,Spices,"Herbs and Spices"
"Arctic blackberry",Berries,Fruits
Banana,"Tropical fruits",Fruits
Bayberry,Berries,Fruits
"Elliott's blueberry",Berries,Fruits
"Canada blueberry",Berries,Fruits
"Bog bilberry",Berries,Fruits
"Buffalo currant",Berries,Fruits
Celeriac,"Root vegetables",Vegetables
"Celery stalks","Stalk vegetables",Vegetables
"Chinese chives",Herbs,"Herbs and Spices"
"European cranberry",Berries,Fruits
Deerberry,Berries,Fruits
Ginseng,Spices,"Herbs and Spices"
"Cascade huckleberry",Berries,Fruits
"Oval-leaf huckleberry",Berries,Fruits
"Evergreen huckleberry",Berries,Fruits
"Red huckleberry",Berries,Fruits
Longan,"Tropical fruits",Fruits
"Macadamia nut (M. tetraphylla)",Nuts,Nuts
"Garden onion (var.)","Onion-family vegetables",Vegetables
"Summer grape",Berries,Fruits
"Fox grape",Berries,Fruits
Nectarine,Drupes,Fruits
"Peach (var.)",Drupes,Fruits
"Pepper (C. baccatum)","Fruit vegetables",Vegetables
"Pepper (C. chinense)","Fruit vegetables",Vegetables
"Pepper (Capsicum)","Fruit vegetables",Vegetables
Rambutan,"Tropical fruits",Fruits
"Red rice",Cereals,"Cereals and cereal products"
"Annual wild rice",Cereals,"Cereals and cereal products"
"Swiss chard","Leaf vegetables",Vegetables
"Lemon thyme",Herbs,"Herbs and Spices"
"Tronchuda cabbage",Cabbages,Vegetables
"Japanese walnut",Nuts,Nuts
"Welsh onion",Herbs,"Herbs and Spices"
"Hard wheat",Cereals,"Cereals and cereal products"
Shallot,"Onion-family vegetables",Vegetables
"Rocket salad","Leaf vegetables",Vegetables
Carrot,"Root vegetables",Vegetables
Triticale,Cereals,"Cereals and cereal products"
"Black cabbage",Cabbages,Vegetables
"Half-highbush blueberry",Berries,Fruits
"Celery leaves",Herbs,"Herbs and Spices"
"Chicory leaves","Leaf vegetables",Vegetables
Komatsuna,Cabbages,Vegetables
"Pak choy",Cabbages,Vegetables
"Napa cabbage",Cabbages,Vegetables
"Chicory roots","Root vegetables",Vegetables
"Grapefruit/Pummelo hybrid",Citrus,Fruits
Grapefruit,Citrus,Fruits
Jostaberry,Berries,Fruits
Kai-lan,Cabbages,Vegetables
"Italian oregano",Herbs,"Herbs and Spices"
"Oxheart cabbage",Cabbages,Vegetables
"Daikon radish","Root vegetables",Vegetables
"Black radish","Root vegetables",Vegetables
"Radish (var.)","Root vegetables",Vegetables
"Red beetroot","Root vegetables",Vegetables
"Sweet rowanberry",Berries,Fruits
"Pineappple sage",Herbs,"Herbs and Spices"
"Skunk currant",Berries,Fruits
Beer,"Fermented beverages",Beverages
"Other bread","Other breads","Cereals and cereal products"
"Breakfast cereal","Cereal products","Cereals and cereal products"
"Other soy product","Soy products",Soy
"Other cereal product","Cereal products","Cereals and cereal products"
Pasta,"Cereal products","Cereals and cereal products"
Biscuit,"Cereal products","Cereals and cereal products"
Sourdough,Doughs,"Cereals and cereal products"
Spirit,"Distilled beverages",Beverages
"Fortified wine","Fortified wines",Beverages
"Other alcoholic beverage","Alcoholic beverages",Beverages
Abalone,Mollusks,"Aquatic foods"
Abiyuch,"Tropical fruits",Fruits
Acerola,"Tropical fruits",Fruits
Acorn,Nuts,Nuts
"Winter squash",Gourds,Gourds
Agar,Seaweed,"Aquatic foods"
"Red king crab",Crustaceans,"Aquatic foods"
Alfalfa,Herbs,"Herbs and Spices"
Allspice,Spices,"Herbs and Spices"
Amaranth,Herbs,"Herbs and Spices"
Arrowhead,Tubers,Vegetables
Arrowroot,Tubers,Vegetables
"Asian pear",Pomes,Fruits
"Atlantic herring",Fishes,"Aquatic foods"
"Atlantic mackerel",Fishes,"Aquatic foods"
"Painted comber",Fishes,"Aquatic foods"
"Atlantic pollock",Fishes,"Aquatic foods"
"Atlantic wolffish",Fishes,"Aquatic foods"
"Bamboo shoots","Shoot vegetables",Vegetables
"Striped bass",Fishes,"Aquatic foods"
"Beech nut",Nuts,Nuts
"Beluga whale",Cetaceans,"Aquatic foods"
Bison,Bovines,"Animal foods"
"Alaska blackfish",Fishes,"Aquatic foods"
"Blue crab",Crustaceans,"Aquatic foods"
"Blue mussel",Mollusks,"Aquatic foods"
"Northern bluefin tuna",Fishes,"Aquatic foods"
Bluefish,Fishes,"Aquatic foods"
"Wild boar",Swine,"Animal foods"
"Bowhead whale",Cetaceans,"Aquatic foods"
Breadfruit,"Tropical fruits",Fruits
"Breadnut tree seed","Other seeds","Herbs and Spices"
Rapini,Cabbages,Vegetables
Buffalo,Bovines,"Animal foods"
Burbot,Fishes,"Aquatic foods"
"Giant butterbur","Other vegetables",Vegetables
"American butterfish",Fishes,"Aquatic foods"
Butternut,Nuts,Nuts
"Butternut squash",Gourds,Gourds
Calabash,Gourds,Gourds
Cardoon,"Shoot vegetables",Vegetables
"Natal plum","Tropical fruits",Fruits
Carob,"Other vegetables",Vegetables
"Common carp",Fishes,"Aquatic foods"
Cassava,Tubers,Vegetables
"Channel catfish",Fishes,"Aquatic foods"
Chayote,Gourds,Gourds
Cherimoya,"Tropical fruits",Fruits
Chervil,Spices,"Herbs and Spices"
Chia,"Other seeds","Herbs and Spices"
Chicken,Poultry,"Animal foods"
"Chinese broccoli",Cabbages,Vegetables
"Chinese chestnut",Nuts,Nuts
"Chinese water chestnut","Other vegetables",Vegetables
"Garland chrysanthemum","Leaf vegetables",Vegetables
Cisco,Fishes,"Aquatic foods"
"Nuttall cockle",Mollusks,"Aquatic foods"
Coconut,"Tropical fruits",Fruits
"Pacific cod",Fishes,"Aquatic foods"
"Atlantic cod",Fishes,"Aquatic foods"
"Common octopus",Mollusks,"Aquatic foods"
"Corn salad","Leaf vegetables",Vegetables
Cottonseed,"Oilseed crops","Herbs and Spices"
"Catjang pea",Peas,Pulses
"Malus (Crab apple)",Pomes,Fruits
Squashberry,Berries,Fruits
"Atlantic croaker",Fishes,"Aquatic foods"
Cusk,Fishes,"Aquatic foods"
Cuttlefish,Mollusks,"Aquatic foods"
"Mule deer",Venison,"Animal foods"
Devilfish,Fishes,"Aquatic foods"
Dock,Herbs,"Herbs and Spices"
"Dolphin fish",Fishes,"Aquatic foods"
"Freshwater drum",Fishes,"Aquatic foods"
"Mallard duck",Poultry,"Animal foods"
"Dungeness crab",Crustaceans,"Aquatic foods"
Durian,"Tropical fruits",Fruits
"Eastern oyster",Mollusks,"Aquatic foods"
"Freshwater eel",Fishes,"Aquatic foods"
Elderberry,Berries,Fruits
Elk,Venison,"Animal foods"
Emu,Poultry,"Animal foods"
"Oregon yampah","Root vegetables",Vegetables
"European anchovy",Fishes,"Aquatic foods"
"European chestnut",Nuts,Nuts
Turbot,Fishes,"Aquatic foods"
Fireweed,Herbs,"Herbs and Spices"
"Florida pompano",Fishes,"Aquatic foods"
"Ginkgo nuts","Other seeds","Herbs and Spices"
"Greylag goose",Poultry,"Animal foods"
Grape,Berries,Fruits
"Greenland halibut/turbot",Fishes,"Aquatic foods"
Groundcherry,"Fruit vegetables",Vegetables
Grouper,Fishes,"Aquatic foods"
"Guinea hen",Poultry,"Animal foods"
Haddock,Fishes,"Aquatic foods"
"Hippoglossus (Common halibut)",Fishes,"Aquatic foods"
Hazelnut,Nuts,Nuts
"Hickory nut",Nuts,Nuts
Horse,Equines,"Animal foods"
"Horseradish tree","Other vegetables",Vegetables
"Alaska blueberry",Berries,Fruits
"Hyacinth bean",Beans,Pulses
"Irish moss",Seaweed,"Aquatic foods"
"Pacific jack mackerel",Fishes,"Aquatic foods"
Jackfruit,"Tropical fruits",Fruits
"Japanese chestnut",Nuts,Nuts
"Java plum","Tropical fruits",Fruits
"Jerusalem artichoke",Tubers,Vegetables
Jujube,"Other fruits",Fruits
Jute,"Leaf vegetables",Vegetables
Kale,Cabbages,Vegetables
Kelp,Seaweed,"Aquatic foods"
"King mackerel",Fishes,"Aquatic foods"
Kumquat,"Tropical fruits",Fruits
Lambsquarters,"Leaf vegetables",Vegetables
"Leather chiton",Mollusks,"Aquatic foods"
"Wild leek","Onion-family vegetables",Vegetables
"Common ling",Fishes,"Aquatic foods"
Lingcod,Fishes,"Aquatic foods"
"American lobster",Crustaceans,"Aquatic foods"
Loganberry,Berries,Fruits
Lotus,"Other seeds","Herbs and Spices"
"Sacred lotus","Other vegetables",Vegetables
"White lupine","Other pulses",Pulses
"Malabar spinach","Leaf vegetables",Vegetables
"Mammee apple","Tropical fruits",Fruits
"Purple mangosteen","Tropical fruits",Fruits
"Alpine sweetvetch","Root vegetables",Vegetables
Milkfish,Fishes,"Aquatic foods"
Monkfish,Fishes,"Aquatic foods"
"Moth bean",Beans,Pulses
"Mountain yam",Tubers,Vegetables
"Striped mullet",Fishes,"Aquatic foods"
"White mustard",Spices,"Herbs and Spices"
"Mustard spinach",Cabbages,Vegetables
"New Zealand spinach","Leaf vegetables",Vegetables
Nopal,"Other vegetables",Vegetables
"Ocean pout",Fishes,"Aquatic foods"
"North Pacific giant octopus",Mollusks,"Aquatic foods"
"Ohelo berry",Berries,Fruits
Okra,"Other vegetables",Vegetables
Tunicate,"Other aquatic foods","Aquatic foods"
Ostrich,Poultry,"Animal foods"
"Spotted seal",Pinnipeds,"Aquatic foods"
"Pacific herring",Fishes,"Aquatic foods"
"Pacific oyster",Mollusks,"Aquatic foods"
"Pacific rockfish",Fishes,"Aquatic foods"
"Velvet duck",Poultry,"Animal foods"
"Pepper (C. frutescens)","Fruit vegetables",Vegetables
"Common persimmon","Tropical fruits",Fruits
Pheasant,Poultry,"Animal foods"
"Northern pike",Fishes,"Aquatic foods"
"Pili nut",Nuts,Nuts
"Colorado pinyon",Nuts,Nuts
Pitanga,"Tropical fruits",Fruits
"Plains prickly pear","Tropical fruits",Fruits
"French plantain","Tropical fruits",Fruits
"American pokeweed","Shoot vegetables",Vegetables
"Opium poppy",Spices,"Herbs and Spices"
"Prairie turnip","Root vegetables",Vegetables
"Prickly pear","Tropical fruits",Fruits
Quinoa,"Other seeds","Herbs and Spices"
"European rabbit",Lagomorphs,"Animal foods"
"Rainbow smelt",Fishes,"Aquatic foods"
"Rainbow trout",Fishes,"Aquatic foods"
"Malabar plum","Tropical fruits",Fruits
"Rose hip",Herbs,"Herbs and Spices"
Roselle,Herbs,"Herbs and Spices"
"Orange roughy",Fishes,"Aquatic foods"
Sablefish,Fishes,"Aquatic foods"
"Pink salmon",Fishes,"Aquatic foods"
"Chum salmon",Fishes,"Aquatic foods"
"Coho salmon",Fishes,"Aquatic foods"
"Sockeye salmon",Fishes,"Aquatic foods"
"Chinook salmon",Fishes,"Aquatic foods"
"Atlantic salmon",Fishes,"Aquatic foods"
Salmonberry,Berries,Fruits
"Common salsify","Root vegetables",Vegetables
Sapodilla,"Tropical fruits",Fruits
"Mamey sapote","Tropical fruits",Fruits
"Spanish mackerel",Fishes,"Aquatic foods"
"Pacific sardine",Fishes,"Aquatic foods"
Scallop,Mollusks,"Aquatic foods"
Scup,Fishes,"Aquatic foods"
"Sea cucumber","Other aquatic foods","Aquatic foods"
"Steller sea lion",Pinnipeds,"Aquatic foods"
"Bearded seal",Pinnipeds,"Aquatic foods"
"Ringed seal",Pinnipeds,"Aquatic foods"
"Sea trout",Fishes,"Aquatic foods"
"Sesbania flower","Other vegetables",Vegetables
"American shad",Fishes,"Aquatic foods"
Shark,Fishes,"Aquatic foods"
Sheefish,Fishes,"Aquatic foods"
"Sheep (Mutton, Lamb)",Ovis,"Animal foods"
Sheepshead,Fishes,"Aquatic foods"
"Hedge mustard","Other seeds","Herbs and Spices"
"Skipjack tuna",Fishes,"Aquatic foods"
Snapper,Fishes,"Aquatic foods"
Soursop,"Tropical fruits",Fruits
Spelt,Cereals,"Cereals and cereal products"
Spirulina,Seaweed,"Aquatic foods"
Squab,Poultry,"Animal foods"
"Strawberry guava",Berries,Fruits
"Greater sturgeon",Fishes,"Aquatic foods"
"White sucker",Fishes,"Aquatic foods"
"Sugar apple","Tropical fruits",Fruits
"Pumpkinseed sunfish",Fishes,"Aquatic foods"
Swordfish,Fishes,"Aquatic foods"
Taro,"Root vegetables",Vegetables
Teff,Herbs,"Herbs and Spices"
Tilefish,Fishes,"Aquatic foods"
"Mexican groundcherry","Fruit vegetables",Vegetables
"Towel gourd",Gourds,Gourds
"Salmonidae (Salmon, Trout)",Fishes,"Aquatic foods"
Turkey,Poultry,"Animal foods"
"Cattle (Beef, Veal)",Bovines,"Animal foods"
Walleye,Fishes,"Aquatic foods"
"Alaska pollock",Fishes,"Aquatic foods"
Wasabi,Spices,"Herbs and Spices"
"Wax gourd",Gourds,Gourds
Whelk,Mollusks,"Aquatic foods"
"Coalfish pollock",Fishes,"Aquatic foods"
"Broad whitefish",Fishes,"Aquatic foods"
Whitefish,Fishes,"Aquatic foods"
Whiting,Fishes,"Aquatic foods"
"Wild rice",Cereals,"Cereals and cereal products"
"Tea leaf willow",Herbs,"Herbs and Spices"
"Winged bean",Beans,Pulses
Yam,Tubers,Vegetables
Jicama,"Root vegetables",Vegetables
Yautia,"Leaf vegetables",Vegetables
"Yellowfin tuna",Fishes,"Aquatic foods"
"Yellowtail amberjack",Fishes,"Aquatic foods"
Pollock,Fishes,"Aquatic foods"
"Albacore tuna",Fishes,"Aquatic foods"
"Gadus (Common cod)",Fishes,"Aquatic foods"
"Atlantic halibut",Fishes,"Aquatic foods"
"Pacific halibut",Fishes,"Aquatic foods"
"Pacific salmon",Fishes,"Aquatic foods"
Smelt,Fishes,"Aquatic foods"
"Clupeinae (Herring, Sardine, Sprat)",Fishes,"Aquatic foods"
"Spiny lobster",Crustaceans,"Aquatic foods"
"Snow crab",Crustaceans,"Aquatic foods"
"Black-eyed pea",Peas,Pulses
Deer,Venison,"Animal foods"
"Macadamia nut",Nuts,Nuts
"Percoidei (Bass and others)",Fishes,"Aquatic foods"
Perciformes,Fishes,"Aquatic foods"
Rabbit,Lagomorphs,"Animal foods"
