name,food_subgroup,food_group
"Domestic goat",Caprae,"Animal foods"
Beefalo,Bovines,"Animal foods"
"Bivalvia (Clam, Mussel, Oyster)",Mollusks,"Aquatic foods"
Squid,Mollusks,"Aquatic foods"
Shrimp,Crustaceans,"Aquatic foods"
Crayfish,Crustaceans,"Aquatic foods"
Flatfish,Fishes,"Aquatic foods"
"Domestic pig",Swine,"Animal foods"
Walrus,Pinnipeds,"Aquatic foods"
"Alaska wild rhubarb","Stalk vegetables",Vegetables
"Oriental wheat",Cereals,"Cereals and cereal products"
"Yardlong bean",Peas,Pulses
Quail,Poultry,"Animal foods"
Boysenberry,Berries,Fruits
"Persian lime",Citrus,Fruits
Feijoa,"Tropical fruits",Fruits
Rowal,"Other seeds","Herbs and Spices"
"Jew's ear",Mushrooms,Vegetables
"Common mushroom",Mushrooms,Vegetables
Shiitake,Mushrooms,Vegetables
"Purple laver",Seaweed,"Aquatic foods"
Wakame,Seaweed,"Aquatic foods"
Enokitake,Mushrooms,Vegetables
Epazote,Herbs,"Herbs and Spices"
"Oyster mushroom",Mushrooms,Vegetables
"Cloud ear fungus",Mushrooms,Vegetables
Maitake,Mushrooms,Vegetables
"Ostrich fern","Leaf vegetables",Vegetables
"Spot croaker",Fishes,"Aquatic foods"
Sourdock,Herbs,"Herbs and Spices"
Tinda,Gourds,Gourds
"Atlantic menhaden",Fishes,"Aquatic foods"
Wheat,Cereals,"Cereals and cereal products"
"Common chokecherry",Drupes,Fruits
Agave,"Other vegetables",Vegetables
"Narrowleaf cattail","Other vegetables",Vegetables
Jellyfish,"Other aquatic foods","Aquatic foods"
Anchovy,Fishes,"Aquatic foods"
"Blue whiting",Fishes,"Aquatic foods"
"Carp bream",Fishes,"Aquatic foods"
Chanterelle,Mushrooms,Vegetables
Sturgeon,Fishes,"Aquatic foods"
Charr,Fishes,"Aquatic foods"
Cinnamon,Spices,"Herbs and Spices"
Crab,Crustaceans,"Aquatic foods"
"Common dab",Fishes,"Aquatic foods"
"Spiny dogfish",Fishes,"Aquatic foods"
Anatidae,Poultry,"Animal foods"
Anguilliformes,Fishes,"Aquatic foods"
"True frog",Amphibians,"Aquatic foods"
Garfish,Fishes,"Aquatic foods"
Gadiformes,Fishes,"Aquatic foods"
"Mountain hare",Lagomorphs,"Animal foods"
"Lake trout",Fishes,"Aquatic foods"
"Lemon sole",Fishes,"Aquatic foods"
"Clawed lobster",Crustaceans,"Aquatic foods"
Lumpsucker,Fishes,"Aquatic foods"
"Scombridae (Bonito, Mackerel, Tuna)",Fishes,"Aquatic foods"
"Marine mussel",Mollusks,"Aquatic foods"
"Norway haddock",Fishes,"Aquatic foods"
"Norway lobster",Crustaceans,"Aquatic foods"
"Norway pout",Fishes,"Aquatic foods"
"Oil palm","Oilseed crops","Herbs and Spices"
"True oyster",Mollusks,"Aquatic foods"
"Sago palm","Oilseed crops","Herbs and Spices"
Persimmon,"Tropical fruits",Fruits
Pikeperch,Fishes,"Aquatic foods"
"Pleuronectidae (Dab, Halibut, Plaice)",Fishes,"Aquatic foods"
"Rock ptarmigan",Poultry,"Animal foods"
"Pacific ocean perch",Fishes,"Aquatic foods"
"Black salsify","Root vegetables",Vegetables
"True seal",Pinnipeds,"Aquatic foods"
"Red algae",Seaweed,"Aquatic foods"
Kombu,Seaweed,"Aquatic foods"
Snail,Mollusks,"Aquatic foods"
"True sole",Fishes,"Aquatic foods"
Catfish,Fishes,"Aquatic foods"
Thistle,"Root vegetables",Vegetables
Thunnus,Fishes,"Aquatic foods"
Walnut,Nuts,Nuts
"Cetacea (Dolphin, Porpoise, Whale)",Cetaceans,"Aquatic foods"
"Columbidae (Dove, Pigeon)",Poultry,"Animal foods"
Conch,Mollusks,"Aquatic foods"
"Grape wine","Fermented beverages",Beverages
"Berry wine","Fermented beverages",Beverages
"Other wine","Fermented beverages",Beverages
"Apple cider","Fermented beverages",Beverages
Liquor,"Distilled beverages",Beverages
Cheese,"Fermented milk products","Milk and milk products"
"Milk (Cow)","Unfermented milks","Milk and milk products"
Eggs,Eggs,Eggs
Yogurt,"Fermented milk products","Milk and milk products"
Bean,Beans,Pulses
Vodka,"Distilled beverages",Beverages
Whisky,"Distilled beverages",Beverages
"Ice cream","Frozen desserts",Confectioneries
Gin,"Distilled beverages",Beverages
Honey,"Other confectioneries",Confectioneries
Liquorice,Candies,Confectioneries
Vinegar,Seasonings,"Baking goods"
Rum,"Distilled beverages",Beverages
"Port wine","Fortified wines",Beverages
Vermouth,"Fortified wines",Beverages
Sherry,"Fortified wines",Beverages
"Madeira wine","Fortified wines",Beverages
Nougat,"Other confectioneries",Confectioneries
Toffee,"Other confectioneries",Confectioneries
Cake,Desserts,Confectioneries
Pizza,"Other dishes",Dishes
Ymer,"Fermented milk products","Milk and milk products"
"Other snack food","Snack foods","Snack foods"
"Crisp bread","Flat breads","Cereals and cereal products"
Pastry,Desserts,Confectioneries
Dragée,Candies,Confectioneries
"Chewing gum",Candies,Confectioneries
Marzipan,"Other confectioneries",Confectioneries
"Salad dressing",Dressings,"Baking goods"
Sauce,Sauces,"Baking goods"
Salt,Seasonings,"Baking goods"
Butter,"Other milk products","Milk and milk products"
"Butter substitute",Substitutes,"Baking goods"
Cream,"Other milk products","Milk and milk products"
Sugar,Sugars,"Baking goods"
Sausage,"Ground meat",Dishes
Meatball,"Ground meat",Dishes
Mustard,Condiments,"Baking goods"
Pate,"Ground meat",Dishes
"Sugar substitute",Substitutes,"Baking goods"
"Meat bouillon","Baking goods","Baking goods"
Whey,"Other milk products","Milk and milk products"
Casein,"Other milk products","Milk and milk products"
"Fruit preserve","Fruit products",Fruits
"Leavening agent","Baking goods","Baking goods"
Marshmallow,Candies,Confectioneries
Gelatin,"Baking goods","Baking goods"
Water,Waters,Beverages
"Other fish product","Fish products","Aquatic foods"
"Milk (Human)","Unfermented milks","Milk and milk products"
"Other beverage","Other beverages",Beverages
"Baby food","Baby foods","Baby foods"
Dumpling,"Other dishes",Dishes
Soup,"Other dishes",Dishes
"Other vegetable product","Vegetable products",Vegetables
"Unclassified food or beverage",Unclassified,Unclassified
Syrup,"Baking goods","Baking goods"
Tallow,"Animal fats","Fats and oils"
Remoulade,Condiments,"Baking goods"
"Chocolate spread",Spreads,Confectioneries
"Fruit gum",Candies,Confectioneries
"Curry powder","Herb and spice mixtures","Herbs and Spices"
"Other candy",Candies,Confectioneries
Meringue,"Other confectioneries",Confectioneries
Lard,"Animal fats","Fats and oils"
"Other animal fat","Animal fats","Fats and oils"
"Other cocoa product","Cocoa products","Cocoa and cocoa products"
"Cocoa butter","Cocoa products","Cocoa and cocoa products"
"Cocoa powder","Cocoa products","Cocoa and cocoa products"
"Cocoa liquor","Cocoa products","Cocoa and cocoa products"
Chocolate,"Cocoa products","Cocoa and cocoa products"
"Hot chocolate","Cocoa products","Cocoa and cocoa products"
"Dried milk","Other milk products","Milk and milk products"
"Milk (Other mammals)","Unfermented milks","Milk and milk products"
Kefir,"Fermented milks","Milk and milk products"
Buttermilk,"Fermented milks","Milk and milk products"
"Other fermented milk","Fermented milks","Milk and milk products"
"Soy sauce","Soy products",Soy
Miso,"Soy products",Soy
Tofu,"Soy products",Soy
Zwieback,"Leavened breads","Cereals and cereal products"
Roe,Roe,"Aquatic foods"
"Cichlidae (Tilapia)",Fishes,"Aquatic foods"
Icing,"Other confectioneries",Confectioneries
"Snack bar","Snack foods","Snack foods"
"Green turtle","Other aquatic foods","Aquatic foods"
"Energy drink","Nutritional beverages",Beverages
Burrito,"Tex-Mex cuisine",Dishes
Hamburger,Sandwiches,Dishes
"Baked beans","Other dishes",Dishes
Chili,"Tex-Mex cuisine",Dishes
Taco,"Tex-Mex cuisine",Dishes
Tortilla,"Flat breads","Cereals and cereal products"
Nachos,"Tex-Mex cuisine",Dishes
"Processed cheese","Fermented milk products","Milk and milk products"
Salad,"Other dishes",Dishes
"Cream substitute",Substitutes,"Baking goods"
"Dulce de leche",Spreads,Confectioneries
Topping,"Baking goods","Baking goods"
"Sweet custard","Milk desserts",Confectioneries
"Egg roll","Asian cuisine",Dishes
"Heart of palm","Other vegetables",Vegetables
Popcorn,"Snack foods","Snack foods"
"Potato chip","Snack foods","Snack foods"
"Tortilla chip","Snack foods","Snack foods"
"Corn chip","Snack foods","Snack foods"
"Hibiscus tea","Herbal teas",Teas
Stew,"Other dishes",Dishes
"Gelatin dessert",Desserts,Confectioneries
Junket,"Milk desserts",Confectioneries
Falafel,"Other dishes",Dishes
Frybread,"Other dishes",Dishes
"Other frozen dessert","Frozen desserts",Confectioneries
Lasagna,"Pasta dishes",Dishes
"Morchella (Morel)",Mushrooms,Vegetables
Pancake,"Other dishes",Dishes
Pectin,"Baking goods","Baking goods"
Pudding,Desserts,Confectioneries
Waffle,"Other dishes",Dishes
"Soy milk","Soy products",Soy
Meatloaf,"Ground meat",Dishes
Sake,"Fermented beverages",Beverages
Cocktail,"Alcoholic beverages",Beverages
Couscous,"Berber cuisine",Dishes
Bulgur,"Cereal products","Cereals and cereal products"
"Coffee substitute",Substitutes,"Baking goods"
"Coffee mocha","Coffee products","Coffee and coffee products"
Chimichanga,"Mexican cuisine",Dishes
Semolina,"Cereal products","Cereals and cereal products"
"Tapioca pearl","Baking goods","Baking goods"
Tostada,"Mexican cuisine",Dishes
Quesadilla,"Mexican cuisine",Dishes
"Baked potato","Potato dishes",Dishes
"Hot dog",Sandwiches,Dishes
Spread,"Baking goods","Baking goods"
Enchilada,"Mexican cuisine",Dishes
"Egg substitute",Substitutes,"Baking goods"
"Nutritional drink","Nutritional beverages",Beverages
"Other sandwich",Sandwiches,Dishes
Ketchup,Condiments,"Baking goods"
"Breakfast sandwich",Sandwiches,Dishes
Adobo,Seasonings,"Baking goods"
"Macaroni and cheese","Pasta dishes",Dishes
Butterfat,"Other milk products","Milk and milk products"
"Horned melon",Gourds,Gourds
Hushpuppy,"American cuisine",Dishes
"Fruit juice","Other beverages",Beverages
Relish,Condiments,"Baking goods"
"Other fruit product","Fruit products",Fruits
"Fruit salad","Fruit products",Fruits
"Soy yogurt","Soy products",Soy
"Vegetarian food","Other dishes",Dishes
"Veggie burger",Sandwiches,Dishes
"Cold cut","Ground meat",Dishes
"Mixed nuts",Nuts,Nuts
Canola,"Oilseed crops","Herbs and spices"
"Babassu palm","Oilseed crops","Herbs and Spices"
Cupuaçu,"Oilseed crops","Herbs and Spices"
"Shea tree","Oilseed crops","Herbs and Spices"
"Oil-seed Camellia","Oilseed crops","Herbs and Spices"
Ucuhuba,"Oilseed crops","Herbs and Spices"
"Phyllo dough","Baking goods","Baking goods"
"Cooking oil","Baking goods","Baking goods"
"Pie crust",Wrappers,"Baking goods"
"Pie filling","Baking goods","Baking goods"
Pie,Desserts,Confectioneries
Shortening,"Vegetable fats","Fats and oils"
"Soy cream","Soy products",Soy
"Ice cream cone",Wrappers,"Baking goods"
Molasses,"Baking goods","Baking goods"
Cracker,"Snack foods","Snack foods"
Nance,"Tropical fruits",Fruits
Naranjilla,"Tropical fruits",Fruits
Natto,"Soy products",Soy
Ravioli,"Pasta dishes",Dishes
Scrapple,"American cuisine",Dishes
"Other pasta dish","Pasta dishes",Dishes
Succotash,"American cuisine",Dishes
Tamale,"Latin American cuisine",Dishes
"Rice cake","Asian cuisine",Dishes
"Tree fern","Other vegetables",Vegetables
"Evaporated milk","Other milk products","Milk and milk products"
Flour,"Cereal products","Cereals and cereal products"
Akutaq,Desserts,Confectioneries
Dough,Doughs,"Cereals and cereal products"
"Pita bread","Flat breads","Cereals and cereal products"
Focaccia,"Flat breads","Cereals and cereal products"
Bagel,"Leavened breads","Cereals and cereal products"
"Other bread product","Bread products","Cereals and cereal products"
"Piki bread","Flat breads","Cereals and cereal products"
"French toast","Leavened breads","Cereals and cereal products"
"Wheat bread","Leavened breads","Cereals and cereal products"
"Rye bread","Leavened breads","Cereals and cereal products"
"Oat bread","Leavened breads","Cereals and cereal products"
"Potato bread","Other breads","Cereals and cereal products"
Cornbread,"Flat breads","Cereals and cereal products"
"Corn grits","Cereal products","Cereals and cereal products"
"Multigrain bread","Leavened breads","Cereals and cereal products"
"Rice bread","Leavened breads","Cereals and cereal products"
"Pan dulce","Leavened breads","Cereals and cereal products"
"Raisin bread","Sweet breads","Cereals and cereal products"
"Wonton wrapper",Wrappers,"Baking goods"
"Trail mix","Snack foods","Snack foods"
"Greenthread tea","Herbal teas",Teas
"Fruit-flavor drink","Other beverages",Beverages
"Vegetable juice","Other beverages",Beverages
Horchata,"Other beverages",Beverages
"Soft drink","Other beverages",Beverages
"Frozen yogurt","Frozen desserts",Confectioneries
Milkshake,"Frozen desserts",Confectioneries
"Chocolate mousse",Desserts,Confectioneries
Dripping,"Animal fats","Fats and oils"
Pupusa,"Latin American cuisine",Dishes
Empanada,"Latin American cuisine",Dishes
Arepa,"Latin American cuisine",Dishes
Ascidians,"Other aquatic foods","Aquatic foods"
"Gefilte fish","Jewish cuisine",Dishes
"Yellow pond-lily",Herbs,"Herbs and Spices"
"Fish burger",Sandwiches,Dishes
"Other dish","Other dishes",Dishes
"Pot pie","Other dishes",Dishes
Stuffing,"Baking goods","Baking goods"
"Edible shell",Wrappers,"Baking goods"
Fudge,Candies,Confectioneries
"Candy bar",Candies,Confectioneries
"Condensed milk","Other milk products","Milk and milk products"
Margarine,"Vegetable fats","Fats and oils"
"Margarine-like spread","Vegetable fats","Fats and oils"
Hummus,"Levantine cuisine",Dishes
"Potato puffs","Potato dishes",Dishes
"Potato gratin","Potato dishes",Dishes
"Milk substitute",Substitutes,"Baking goods"
"Pepper (C. pubescens)","Fruit vegetables",Vegetables
"Soft-necked garlic",Herbs,"Herbs and Spices"
Cabbage,Cabbages,Vegetables
"Chinese bayberry",Berries,Fruits
Mushrooms,Mushrooms,Vegetables
"Alcoholic beverages","Alcoholic beverages",Beverages
"Onion-family vegetables","Onion-family vegetables",Vegetables
Pomes,Pomes,Fruits
Brassicas,Brassicas,Vegetables
"Cereals and cereal products","Cereals and cereal products","Cereals and cereal products"
Citrus,Citrus,Fruits
"Cocoa and cocoa products","Cocoa and cocoa products","Cocoa and cocoa products"
"Coffee and coffee products","Coffee and coffee products","Coffee and coffee products"
Crustaceans,Crustaceans,"Aquatic foods"
"Milk and milk products","Milk and milk products","Milk and milk products"
"Fats and oils","Fats and oils","Fats and oils"
Fishes,Fishes,"Aquatic foods"
"Herbs and Spices","Herbs and Spices","Herbs and Spices"
Pulses,Pulses,Pulses
Mollusks,Mollusks,"Aquatic foods"
Nuts,Nuts,Nuts
Beverages,Beverages,Beverages
Fruits,Fruits,Fruits
"Green vegetables","Green vegetables",Vegetables
"Root vegetables","Root vegetables",Vegetables
"Sunburst squash (pattypan squash)",Gourds,Gourds
"Green zucchini",Gourds,Gourds
"Yellow zucchini",Gourds,Gourds
"Green bell pepper","Fruit vegetables",Vegetables
"Yellow bell pepper","Fruit vegetables",Vegetables
"Orange bell pepper","Fruit vegetables",Vegetables
"Red bell pepper","Fruit vegetables",Vegetables
"Italian sweet red pepper","Fruit vegetables",Vegetables
"Yellow wax bean",Beans,Pulses
"Green bean",Beans,Pulses
"Saskatoon berry",Berries,Fruits
"Nanking cherry",Berries,Fruits
"Japanese pumpkin",Gourds,Gourds
"White cabbage",Cabbages,Vegetables
"Romaine lettuce","Leaf vegetables",Vegetables
"Cow milk, pasteurized, vitamin A + D added, 0% fat","Unfermented milks","Milk and milk products"
"Cow milk, pasteurized, vitamin A + D added, 1% fat","Unfermented milks","Milk and milk products"
"Cow milk, pasteurized, vitamin A + D added, 2% fat","Unfermented milks","Milk and milk products"
"Cow milk, pasteurized, vitamin D added, 3.25% fat","Unfermented milks","Milk and milk products"
"Castanospermum australe",,Vegetables
"Gentiana lutea",,Vegetables
"Juniperus communis",,Vegetables
"Albizia gummifera",,Vegetables
Mundu,"Tropical fruits",Fruits
"Rabbiteye blueberry",Berries,Fruits
"Yali pear",Pomes,Fruits
"Asparagus racemosus","Shoot vegetables",Vegetables
"Evergreen blackberry",Berries,Fruits
"Asparagus fern",Herbs,"Herbs and Spices"
"Thornless blackberry",Berries,Fruits
"Tropical highland blackberry",Berries,Fruits
"Andean blackberry",Berries,Fruits
Blackberry,Berries,Fruits
"Black tea",Teas,Teas
"Green tea",Teas,Teas
"Olive oil","Oilseed crops","Herbs and Spices"
Macroalgae,Seaweed,"Aquatic foods"
"Red wine","Fermented beverages",Beverages
"linseed oil","Oilseed crops","Herbs and Spices"
"Rapeseed oil","Oilseed crops","Herbs and Spices"
"Soybean oil","Oilseed crops","Herbs and Spices"
Guarana,Herbs,"Herbs and Spices"
Mate,Herbs,"Herbs and Spices"
"White wine","Fermented beverages",Beverages
"Sour orange",Citrus,Fruits
"Egg yolk",Eggs,Eggs
"Rosé wine","Fermented beverages",Beverages
"White mulberry",Herbs,"Herbs and Spices"
"Canola oil","Oilseed crops","Herbs and Spices"
"Dessert wine","Fermented beverages",Beverages
"Red champagne","Alcoholic beverages",Beverages
"Red tea",Teas,Teas
"White champagne","Alcoholic beverages",Beverages
"Red grape juice",Beverages,Beverages
"White grape juice",Beverages,Beverages
Crosne,"Root vegetables",Vegetables
"Red clover",Herbs,"Herbs and Spices"
"Partridge berry",Berries,Fruits
Mikan,Citrus,Fruits
"Mozzarella cheese","Fermented milk products","Milk and milk products"
"Plain cream cheese","Fermented milk products","Milk and milk products"
"Cheddar Cheese","Fermented milk products","Milk and milk products"
"Parmesan cheese","Fermented milk products","Milk and milk products"
"Almond milk","Other milk products","Milk and milk products"
"Coconut milk","Other milk products","Milk and milk products"
"Salted butter","Other milk products","Milk and milk products"
"Sunflower oil","Oilseed crops","Herbs and Spices"
"Coconut oil","Oilseed crops","Herbs and Spices"
"Peanut oil","Oilseed crops","Herbs and Spices"
"Cottonseed oil","Oilseed crops","Herbs and Spices"
"Corn oil","Oilseed crops","Herbs and Spices"
"Avocado oil","Oilseed crops","Herbs and Spices"
"Grapeseed oil","Oilseed crops","Herbs and Spices"
"Sesame oil","Oilseed crops","Herbs and Spices"
"Monterey Jack cheese","Fermented milk products","Milk and milk products"
"Swiss cheese","Fermented milk products","Milk and milk products"
"Cottage cheese","Fermented milk products","Milk and milk products"
"Blue cheese","Fermented milk products","Milk and milk products"
Clam,Bivalvia,"Aquatic foods"
"Sour cream","Other milk products","Milk and milk products"
"Whole wheat bread",Cereals,"Cereals and cereal products"
"Jalapeno pepper","Fruit vegetables",Vegetables
"Greek feta cheese","Fermented milk products","Milk and milk products"
Eddoe,"Root vegetables",Vegetables
Plantain,"Tropical fruits",Fruits
Clementine,Citrus,Fruits
"Green apple",Pomes,Fruits
"White onion","Onion-family vegetables",Vegetables
"Red onion","Onion-family vegetables",Vegetables
"Green onion","Onion-family vegetables",Vegetables
"Green grape",Berries,Fruits
"Red grape",Berries,Fruits
"Black plum",Berries,Fruits
"Green cabbage",Cabbages,Vegetables
"Black raisin",Berries,Fruits
"Cannellini bean",Beans,Pulses
"Green lentil",Pulses,Pulses
"Cubanelle pepper","Fruit vegetables",Vegetables
"Acorn squash",Gourds,Gourds
"Iceberg lettuce","Leaf vegetables",Vegetables
"Japanese sea bass",Fishes,"Aquatic foods"
"Pea shoots","Leaf vegetables",Vegetables
"Yau choy","Leaf vegetables",Vegetables
"Water spinach","Leaf vegetables",Vegetables
"Chineese plum",Berries,Fruits
"Green plum",Berries,Fruits
Wampee,Berries,Fruits
Pitaya,"Tropical fruits",Fruits
Goji,Berries,Fruits
"Monk fruit",Berries,Fruits
"Cantaloupe melon",Gourds,Gourds
Hawthorn,Berries,Fruits
"Lantern fruit",Berries,Fruits
"White bread",Cereals,"Cereals and cereal products"
"Cape gooseberry",Berries,Fruits
"Herbal tea",Teas,Teas
"Fish oil",NULL,NULL
"Taco shell",NULL,NULL
"Tostada shell",NULL,NULL
